Date,Product,Quantity,UnitPrice,PaymentMethod,OrderStatus,ItemsInCart,CouponCode,ReferralSource,TotalPrice,CouponSave10,CouponWinter15,CouponFreeship,RevenueGenrated
01-06-2025,Phone,4,470.09,Debit Card,Delivered,4,FREESHIP,Google,1880.36,0.0,0.0,1880.36,0.0
01-06-2025,Laptop,4,119.84,Gift Card,Shipped,8,FREESHIP,Referral,479.36,0.0,0.0,479.36,0.0
01-07-2023,Laptop,3,557.41,Online,Delivered,4,FREESHIP,Email,1672.23,0.0,0.0,1672.23,0.0
01-07-2024,Laptop,5,670.48,Gift Card,Returned,5,SAVE10,Facebook,2332.082,233.2082,0.0,0.0,0.0
01-08-2023,Chair,3,404.79,Cash,Shipped,6,SAVE10,Instagram,1214.37,121.43699999999998,0.0,0.0,0.0
01-09-2023,Chair,5,253.75,Online,Pending,9,WINTER15,Instagram,1268.75,0.0,190.3125,0.0,0.0
01-11-2024,Tablet,3,62.77,Gift Card,Shipped,6,FREESHIP,Referral,188.31,0.0,0.0,188.31,0.0
01-11-2024,Chair,4,650.04,Gift Card,Cancelled,6,SAVE10,Facebook,2332.082,233.2082,0.0,0.0,0.0
01-12-2023,Printer,5,444.76,Debit Card,Returned,7,WINTER15,Email,2223.8,0.0,333.57,0.0,0.0
01-12-2023,Tablet,5,287.13,Online,Shipped,10,SAVE10,Email,1435.65,143.565,0.0,0.0,0.0
01-12-2023,Phone,3,588.74,Debit Card,Pending,8,FREESHIP,Email,1766.22,0.0,0.0,1766.22,0.0
02-01-2023,Laptop,3,341.15,Cash,Pending,4,FREESHIP,Instagram,1023.45,0.0,0.0,1023.45,0.0
02-01-2023,Laptop,2,150.05,Credit Card,Cancelled,4,SAVE10,Facebook,300.1,30.01,0.0,0.0,0.0
02-01-2025,Chair,2,399.04,Cash,Cancelled,3,FREESHIP,Referral,798.08,0.0,0.0,798.08,0.0
02-01-2025,Chair,2,588.3,Online,Pending,2,FREESHIP,Email,1176.6,0.0,0.0,1176.6,0.0
02-02-2023,Phone,1,178.44,Credit Card,Cancelled,2,FREESHIP,Google,178.44,0.0,0.0,178.44,0.0
02-02-2023,Tablet,3,360.66,Online,Returned,5,FREESHIP,Instagram,1081.98,0.0,0.0,1081.98,0.0
02-02-2025,Chair,1,564.86,Debit Card,Shipped,6,WINTER15,Referral,564.86,0.0,84.729,0.0,0.0
02-02-2025,Laptop,1,210.7,Online,Shipped,2,WINTER15,Referral,210.7,0.0,31.605,0.0,0.0
02-03-2023,Printer,4,111.3,Debit Card,Pending,7,FREESHIP,Email,445.2,0.0,0.0,445.2,0.0
02-03-2023,Phone,4,390.84,Credit Card,Cancelled,9,WINTER15,Referral,1563.36,0.0,234.504,0.0,0.0
02-03-2023,Printer,3,392.85,Credit Card,Returned,6,WINTER15,Google,1178.55,0.0,176.7825,0.0,0.0
02-03-2024,Printer,3,146.91,Credit Card,Delivered,6,FREESHIP,Google,440.73,0.0,0.0,440.73,0.0
02-03-2024,Tablet,1,423.4,Debit Card,Shipped,3,SAVE10,Referral,423.4,42.34,0.0,0.0,0.0
02-03-2025,Monitor,3,381.41,Online,Pending,6,FREESHIP,Instagram,1144.23,0.0,0.0,1144.23,0.0
02-03-2025,Desk,5,228.09,Gift Card,Returned,9,FREESHIP,Facebook,1140.45,0.0,0.0,1140.45,0.0
02-04-2025,Phone,2,134.28,Gift Card,Cancelled,2,SAVE10,Email,268.56,26.855999999999998,0.0,0.0,0.0
02-05-2023,Laptop,5,678.16,Gift Card,Delivered,7,WINTER15,Facebook,2332.082,0.0,349.81229999999994,0.0,1982.2696999999998
02-05-2023,Tablet,4,231.26,Online,Shipped,6,WINTER15,Google,925.04,0.0,138.75599999999997,0.0,0.0
02-05-2025,Laptop,5,61.97,Cash,Delivered,6,SAVE10,Email,309.85,30.985,0.0,0.0,278.865
02-05-2025,Tablet,1,675.57,Cash,Shipped,1,WINTER15,Facebook,675.57,0.0,101.33550000000001,0.0,0.0
02-06-2023,Desk,4,37.76,Debit Card,Delivered,7,SAVE10,Google,165.012,16.501199999999997,0.0,0.0,148.51080000000002
02-06-2023,Chair,3,445.12,Gift Card,Cancelled,8,SAVE10,Google,1335.36,133.53599999999997,0.0,0.0,0.0
02-06-2024,Desk,5,260.53,Gift Card,Pending,5,SAVE10,Instagram,1302.65,130.265,0.0,0.0,0.0
02-07-2023,Laptop,1,670.54,Cash,Shipped,6,FREESHIP,Referral,670.54,0.0,0.0,670.54,0.0
02-07-2023,Chair,4,151.2,Gift Card,Pending,9,WINTER15,Facebook,604.8,0.0,90.72,0.0,0.0
02-07-2024,Desk,5,320.01,Gift Card,Delivered,6,WINTER15,Referral,1600.05,0.0,240.0075,0.0,1360.0425
02-07-2024,Monitor,4,510.58,Credit Card,Returned,7,WINTER15,Email,2042.32,0.0,306.348,0.0,0.0
02-08-2023,Monitor,1,489.8,Gift Card,Shipped,4,FREESHIP,Facebook,489.8,0.0,0.0,489.8,0.0
02-09-2023,Tablet,2,176.46,Credit Card,Delivered,2,FREESHIP,Email,352.92,0.0,0.0,352.92,0.0
02-09-2024,Phone,1,287.46,Debit Card,Returned,3,FREESHIP,Facebook,287.46,0.0,0.0,287.46,0.0
02-10-2023,Phone,4,245.28,Credit Card,Delivered,6,WINTER15,Email,981.12,0.0,147.168,0.0,833.952
02-10-2023,Monitor,5,24.82,Credit Card,Shipped,10,WINTER15,Referral,165.012,0.0,24.7518,0.0,0.0
02-10-2023,Printer,4,666.52,Cash,Shipped,8,FREESHIP,Email,2332.082,0.0,0.0,2332.082,0.0
02-10-2023,Desk,4,275.28,Gift Card,Shipped,9,WINTER15,Facebook,1101.12,0.0,165.168,0.0,0.0
02-11-2023,Chair,2,601.43,Online,Pending,5,FREESHIP,Instagram,1202.86,0.0,0.0,1202.86,0.0
02-11-2023,Monitor,2,365.17,Online,Cancelled,4,FREESHIP,Facebook,730.34,0.0,0.0,730.34,0.0
02-11-2024,Desk,5,236.38,Credit Card,Returned,7,SAVE10,Facebook,1181.9,118.19,0.0,0.0,0.0
02-12-2023,Desk,3,120.82,Credit Card,Shipped,5,SAVE10,Referral,362.46,36.246,0.0,0.0,0.0
02-12-2023,Laptop,2,563.06,Cash,Returned,6,FREESHIP,Instagram,1126.12,0.0,0.0,1126.12,0.0
02-12-2024,Chair,2,337.32,Credit Card,Cancelled,4,SAVE10,Email,674.64,67.464,0.0,0.0,0.0
03-01-2023,Tablet,2,448.85,Credit Card,Pending,6,SAVE10,Instagram,897.7,89.77,0.0,0.0,0.0
03-01-2024,Phone,4,532.87,Cash,Pending,9,FREESHIP,Instagram,2131.48,0.0,0.0,2131.48,0.0
03-01-2025,Tablet,3,459.34,Gift Card,Pending,3,SAVE10,Instagram,1378.02,137.80200000000002,0.0,0.0,0.0
03-01-2025,Printer,3,193.58,Gift Card,Pending,7,FREESHIP,Email,580.74,0.0,0.0,580.74,0.0
03-02-2023,Printer,4,611.26,Cash,Shipped,5,SAVE10,Referral,2332.082,233.2082,0.0,0.0,0.0
03-02-2024,Printer,4,264.79,Credit Card,Pending,5,SAVE10,Google,1059.16,105.916,0.0,0.0,0.0
03-03-2025,Tablet,3,205.86,Gift Card,Shipped,4,FREESHIP,Email,617.58,0.0,0.0,617.58,0.0
03-04-2023,Chair,1,381.61,Debit Card,Pending,5,SAVE10,Email,381.61,38.161,0.0,0.0,0.0
03-04-2025,Tablet,5,22.07,Online,Cancelled,7,FREESHIP,Instagram,165.012,0.0,0.0,165.012,0.0
03-05-2023,Monitor,4,433.45,Gift Card,Cancelled,4,WINTER15,Facebook,1733.8,0.0,260.07,0.0,0.0
03-05-2023,Laptop,1,466.42,Gift Card,Pending,5,SAVE10,Email,466.42,46.641999999999996,0.0,0.0,0.0
03-05-2023,Printer,4,595.62,Debit Card,Pending,8,FREESHIP,Facebook,2332.082,0.0,0.0,2332.082,0.0
03-05-2023,Desk,1,491.11,Credit Card,Delivered,4,SAVE10,Facebook,491.11,49.111000000000004,0.0,0.0,441.999
03-05-2025,Tablet,2,464.92,Debit Card,Returned,2,WINTER15,Facebook,929.84,0.0,139.476,0.0,0.0
03-05-2025,Laptop,2,41.0,Online,Delivered,7,WINTER15,Email,165.012,0.0,24.7518,0.0,140.2602
03-05-2025,Phone,1,312.11,Online,Cancelled,4,WINTER15,Facebook,312.11,0.0,46.816500000000005,0.0,0.0
03-05-2025,Desk,4,275.5,Gift Card,Shipped,8,FREESHIP,Google,1102.0,0.0,0.0,1102.0,0.0
03-06-2023,Desk,4,30.27,Online,Delivered,9,FREESHIP,Google,165.012,0.0,0.0,165.012,0.0
03-06-2023,Chair,2,54.41,Online,Shipped,6,SAVE10,Instagram,165.012,16.501199999999997,0.0,0.0,0.0
03-06-2024,Phone,1,586.62,Debit Card,Shipped,5,SAVE10,Facebook,586.62,58.662,0.0,0.0,0.0
03-06-2024,Chair,4,347.17,Debit Card,Shipped,8,SAVE10,Instagram,1388.68,138.86800000000002,0.0,0.0,0.0
03-06-2025,Tablet,3,433.33,Credit Card,Cancelled,4,FREESHIP,Referral,1299.99,0.0,0.0,1299.99,0.0
03-07-2024,Desk,5,125.02,Debit Card,Pending,9,SAVE10,Google,625.1,62.51,0.0,0.0,0.0
03-08-2023,Laptop,5,133.39,Credit Card,Delivered,6,FREESHIP,Referral,666.95,0.0,0.0,666.95,0.0
03-08-2023,Printer,2,697.19,Cash,Returned,7,FREESHIP,Email,1394.38,0.0,0.0,1394.38,0.0
03-08-2024,Laptop,1,133.39,Debit Card,Shipped,2,SAVE10,Referral,165.012,16.501199999999997,0.0,0.0,0.0
03-08-2024,Tablet,1,436.77,Cash,Returned,5,FREESHIP,Google,436.77,0.0,0.0,436.77,0.0
03-09-2024,Laptop,4,481.48,Gift Card,Delivered,5,SAVE10,Instagram,1925.92,192.592,0.0,0.0,1733.328
03-09-2024,Monitor,1,62.12,Cash,Returned,2,SAVE10,Email,165.012,16.501199999999997,0.0,0.0,0.0
03-09-2024,Tablet,1,411.34,Debit Card,Returned,5,FREESHIP,Instagram,411.34,0.0,0.0,411.34,0.0
03-10-2023,Chair,4,549.76,Debit Card,Delivered,4,FREESHIP,Facebook,2199.04,0.0,0.0,2199.04,0.0
03-10-2024,Monitor,5,421.44,Cash,Pending,5,SAVE10,Instagram,2107.2,210.72,0.0,0.0,0.0
03-10-2024,Phone,4,429.37,Credit Card,Delivered,8,FREESHIP,Google,1717.48,0.0,0.0,1717.48,0.0
03-12-2023,Monitor,1,668.48,Debit Card,Shipped,1,SAVE10,Email,668.48,66.848,0.0,0.0,0.0
03-12-2024,Printer,4,30.05,Online,Returned,6,SAVE10,Facebook,165.012,16.501199999999997,0.0,0.0,0.0
03-12-2024,Phone,2,478.36,Online,Shipped,3,SAVE10,Google,956.72,95.67200000000001,0.0,0.0,0.0
04-01-2023,Laptop,2,388.22,Cash,Delivered,2,WINTER15,Instagram,776.44,0.0,116.46600000000001,0.0,659.974
04-01-2023,Monitor,5,570.62,Debit Card,Shipped,7,SAVE10,Instagram,2332.082,233.2082,0.0,0.0,0.0
04-01-2025,Printer,1,594.96,Cash,Returned,6,SAVE10,Facebook,594.96,59.496,0.0,0.0,0.0
04-02-2023,Phone,2,182.4,Gift Card,Cancelled,5,SAVE10,Referral,364.8,36.48,0.0,0.0,0.0
04-02-2024,Tablet,5,226.45,Debit Card,Returned,6,FREESHIP,Email,1132.25,0.0,0.0,1132.25,0.0
04-02-2024,Desk,4,203.46,Credit Card,Pending,7,SAVE10,Referral,813.84,81.384,0.0,0.0,0.0
04-02-2025,Desk,3,131.96,Credit Card,Pending,8,WINTER15,Instagram,395.88,0.0,59.382,0.0,0.0
04-02-2025,Desk,2,629.56,Gift Card,Cancelled,5,WINTER15,Instagram,1259.12,0.0,188.868,0.0,0.0
04-02-2025,Printer,5,94.85,Cash,Shipped,6,WINTER15,Email,474.25,0.0,71.1375,0.0,0.0
04-03-2023,Desk,3,147.39,Debit Card,Returned,3,WINTER15,Email,442.17,0.0,66.3255,0.0,0.0
04-03-2023,Phone,2,625.22,Online,Cancelled,5,WINTER15,Google,1250.44,0.0,187.56600000000003,0.0,0.0
04-03-2024,Monitor,2,662.53,Online,Cancelled,5,FREESHIP,Facebook,1325.06,0.0,0.0,1325.06,0.0
04-03-2025,Printer,1,665.11,Cash,Pending,3,FREESHIP,Instagram,665.11,0.0,0.0,665.11,0.0
04-03-2025,Chair,3,86.29,Cash,Delivered,6,WINTER15,Instagram,258.87,0.0,38.8305,0.0,220.0395
04-04-2024,Tablet,3,589.3,Credit Card,Returned,6,WINTER15,Referral,1767.9,0.0,265.185,0.0,0.0
04-04-2024,Tablet,4,214.54,Gift Card,Cancelled,7,WINTER15,Referral,858.16,0.0,128.724,0.0,0.0
04-04-2025,Desk,4,662.94,Cash,Cancelled,8,SAVE10,Instagram,2332.082,233.2082,0.0,0.0,0.0
04-05-2023,Chair,4,693.36,Online,Shipped,8,SAVE10,Instagram,2332.082,233.2082,0.0,0.0,0.0
04-05-2024,Phone,2,404.96,Cash,Shipped,4,SAVE10,Email,809.92,80.992,0.0,0.0,0.0
04-05-2025,Desk,2,139.57,Cash,Delivered,4,WINTER15,Facebook,279.14,0.0,41.870999999999995,0.0,237.269
04-06-2023,Printer,4,309.91,Debit Card,Shipped,5,WINTER15,Google,1239.64,0.0,185.94600000000003,0.0,0.0
04-06-2023,Tablet,2,187.88,Online,Shipped,4,WINTER15,Facebook,375.76,0.0,56.364,0.0,0.0
04-06-2024,Desk,1,394.53,Cash,Shipped,2,FREESHIP,Referral,394.53,0.0,0.0,394.53,0.0
04-06-2025,Phone,2,485.37,Credit Card,Shipped,5,SAVE10,Email,970.74,97.074,0.0,0.0,0.0
04-07-2024,Desk,2,359.86,Debit Card,Cancelled,4,WINTER15,Referral,719.72,0.0,107.95800000000001,0.0,0.0
04-07-2024,Tablet,2,475.78,Online,Shipped,2,WINTER15,Google,951.56,0.0,142.734,0.0,0.0
04-08-2023,Desk,5,219.78,Credit Card,Pending,8,SAVE10,Facebook,1098.9,109.89,0.0,0.0,0.0
04-08-2023,Printer,2,68.81,Gift Card,Shipped,5,SAVE10,Referral,165.012,16.501199999999997,0.0,0.0,0.0
04-08-2024,Printer,3,569.84,Gift Card,Cancelled,8,WINTER15,Instagram,1709.52,0.0,256.428,0.0,0.0
04-08-2024,Desk,5,298.39,Gift Card,Cancelled,7,WINTER15,Referral,1491.95,0.0,223.7925,0.0,0.0
04-09-2023,Tablet,5,653.46,Cash,Cancelled,9,WINTER15,Email,2332.082,0.0,349.81229999999994,0.0,0.0
04-09-2023,Tablet,2,424.32,Credit Card,Returned,6,FREESHIP,Referral,848.64,0.0,0.0,848.64,0.0
04-09-2023,Laptop,2,160.0,Cash,Pending,4,SAVE10,Instagram,320.0,32.0,0.0,0.0,0.0
04-09-2024,Phone,5,53.93,Gift Card,Shipped,7,SAVE10,Instagram,269.65,26.965,0.0,0.0,0.0
04-09-2024,Desk,1,541.64,Debit Card,Shipped,5,SAVE10,Email,541.64,54.163999999999994,0.0,0.0,0.0
04-10-2023,Desk,4,153.09,Online,Delivered,4,FREESHIP,Referral,612.36,0.0,0.0,612.36,0.0
04-10-2024,Tablet,1,657.07,Cash,Pending,4,SAVE10,Google,657.07,65.70700000000001,0.0,0.0,0.0
04-10-2024,Monitor,1,208.36,Online,Shipped,4,FREESHIP,Email,208.36,0.0,0.0,208.36,0.0
04-11-2023,Chair,2,65.07,Credit Card,Cancelled,4,SAVE10,Google,165.012,16.501199999999997,0.0,0.0,0.0
04-12-2023,Tablet,4,494.84,Cash,Returned,8,SAVE10,Email,1979.36,197.93599999999998,0.0,0.0,0.0
04-12-2024,Chair,1,320.92,Online,Returned,5,FREESHIP,Facebook,320.92,0.0,0.0,320.92,0.0
05-01-2023,Phone,5,420.7,Cash,Pending,5,WINTER15,Facebook,2103.5,0.0,315.525,0.0,0.0
05-01-2023,Phone,5,307.76,Gift Card,Pending,9,FREESHIP,Google,1538.8,0.0,0.0,1538.8,0.0
05-01-2024,Tablet,4,565.2,Debit Card,Shipped,9,SAVE10,Google,2260.8,226.08,0.0,0.0,0.0
05-01-2024,Printer,3,426.12,Online,Delivered,5,WINTER15,Instagram,1278.36,0.0,191.754,0.0,1086.606
05-02-2023,Desk,1,257.0,Debit Card,Cancelled,5,SAVE10,Referral,257.0,25.7,0.0,0.0,0.0
05-02-2023,Monitor,1,76.93,Debit Card,Delivered,6,WINTER15,Instagram,165.012,0.0,24.7518,0.0,140.2602
05-02-2025,Monitor,4,237.43,Cash,Cancelled,8,WINTER15,Referral,949.72,0.0,142.458,0.0,0.0
05-03-2023,Desk,1,565.85,Gift Card,Returned,1,FREESHIP,Facebook,565.85,0.0,0.0,565.85,0.0
05-03-2024,Tablet,4,26.04,Online,Pending,5,SAVE10,Instagram,165.012,16.501199999999997,0.0,0.0,0.0
05-03-2025,Monitor,3,158.37,Cash,Shipped,6,SAVE10,Referral,475.11,47.511,0.0,0.0,0.0
05-03-2025,Phone,2,253.74,Online,Shipped,5,SAVE10,Google,507.48,50.748000000000005,0.0,0.0,0.0
05-03-2025,Monitor,5,26.43,Gift Card,Shipped,5,FREESHIP,Facebook,165.012,0.0,0.0,165.012,0.0
05-04-2023,Desk,3,42.95,Gift Card,Returned,8,SAVE10,Email,165.012,16.501199999999997,0.0,0.0,0.0
05-04-2023,Desk,1,281.52,Gift Card,Shipped,6,WINTER15,Referral,281.52,0.0,42.227999999999994,0.0,0.0
05-05-2023,Chair,3,99.9,Cash,Delivered,8,FREESHIP,Facebook,299.7,0.0,0.0,299.7,0.0
05-06-2023,Chair,1,162.77,Online,Cancelled,4,WINTER15,Facebook,165.012,0.0,24.7518,0.0,0.0
05-06-2023,Phone,4,206.6,Gift Card,Returned,6,WINTER15,Referral,826.4,0.0,123.96,0.0,0.0
05-06-2024,Chair,5,341.84,Online,Shipped,8,FREESHIP,Instagram,1709.2,0.0,0.0,1709.2,0.0
05-06-2025,Desk,3,114.81,Gift Card,Cancelled,7,SAVE10,Google,344.43,34.443000000000005,0.0,0.0,0.0
05-06-2025,Phone,4,493.73,Debit Card,Pending,6,SAVE10,Facebook,1974.92,197.49200000000002,0.0,0.0,0.0
05-06-2025,Desk,1,440.34,Gift Card,Shipped,2,WINTER15,Facebook,440.34,0.0,66.05099999999999,0.0,0.0
05-06-2025,Phone,5,283.73,Gift Card,Pending,8,FREESHIP,Instagram,1418.65,0.0,0.0,1418.65,0.0
05-07-2023,Phone,1,171.59,Credit Card,Pending,5,WINTER15,Email,171.59,0.0,25.7385,0.0,0.0
05-07-2023,Printer,5,429.45,Gift Card,Cancelled,5,WINTER15,Email,2147.25,0.0,322.0875,0.0,0.0
05-07-2023,Desk,5,529.55,Gift Card,Shipped,10,WINTER15,Facebook,2332.082,0.0,349.81229999999994,0.0,0.0
05-07-2024,Monitor,2,253.67,Cash,Returned,3,WINTER15,Facebook,507.34,0.0,76.101,0.0,0.0
05-08-2023,Chair,5,431.69,Credit Card,Pending,10,SAVE10,Facebook,2158.45,215.845,0.0,0.0,0.0
05-09-2023,Tablet,3,149.34,Gift Card,Cancelled,7,WINTER15,Email,448.02,0.0,67.20299999999999,0.0,0.0
05-09-2023,Laptop,4,413.71,Gift Card,Cancelled,9,FREESHIP,Facebook,1654.84,0.0,0.0,1654.84,0.0
05-10-2023,Laptop,4,371.07,Cash,Cancelled,7,WINTER15,Facebook,1484.28,0.0,222.642,0.0,0.0
05-10-2023,Chair,4,598.19,Credit Card,Delivered,7,WINTER15,Email,2332.082,0.0,349.81229999999994,0.0,1982.2696999999998
05-11-2023,Laptop,2,28.55,Gift Card,Shipped,7,SAVE10,Email,165.012,16.501199999999997,0.0,0.0,0.0
05-11-2023,Phone,4,41.9,Gift Card,Pending,9,FREESHIP,Instagram,167.6,0.0,0.0,167.6,0.0
05-11-2024,Desk,4,83.6,Debit Card,Pending,4,SAVE10,Facebook,334.4,33.44,0.0,0.0,0.0
05-12-2023,Monitor,3,611.45,Gift Card,Pending,4,FREESHIP,Instagram,1834.35,0.0,0.0,1834.35,0.0
05-12-2024,Chair,3,358.48,Gift Card,Delivered,7,FREESHIP,Facebook,1075.44,0.0,0.0,1075.44,0.0
05-12-2024,Chair,1,36.65,Online,Cancelled,1,WINTER15,Email,165.012,0.0,24.7518,0.0,0.0
06-01-2023,Chair,3,508.12,Credit Card,Cancelled,8,FREESHIP,Referral,1524.36,0.0,0.0,1524.36,0.0
06-02-2023,Phone,1,131.61,Cash,Shipped,2,FREESHIP,Facebook,165.012,0.0,0.0,165.012,0.0
06-02-2025,Monitor,3,253.98,Credit Card,Cancelled,3,FREESHIP,Email,761.94,0.0,0.0,761.94,0.0
06-03-2024,Laptop,5,59.55,Online,Delivered,6,SAVE10,Referral,297.75,29.775,0.0,0.0,267.975
06-03-2024,Monitor,4,593.22,Credit Card,Cancelled,8,WINTER15,Facebook,2332.082,0.0,349.81229999999994,0.0,0.0
06-03-2025,Tablet,3,623.34,Online,Cancelled,3,SAVE10,Instagram,1870.02,187.002,0.0,0.0,0.0
06-04-2023,Printer,3,539.46,Credit Card,Shipped,4,SAVE10,Facebook,1618.38,161.83800000000002,0.0,0.0,0.0
06-04-2023,Laptop,1,569.96,Online,Delivered,4,FREESHIP,Email,569.96,0.0,0.0,569.96,0.0
06-04-2024,Desk,1,277.09,Cash,Returned,2,SAVE10,Referral,277.09,27.708999999999996,0.0,0.0,0.0
06-04-2024,Monitor,3,267.45,Gift Card,Delivered,5,WINTER15,Instagram,802.35,0.0,120.3525,0.0,681.9975000000001
06-04-2025,Printer,1,254.12,Online,Delivered,1,WINTER15,Email,254.12,0.0,38.118,0.0,216.002
06-04-2025,Chair,1,184.15,Gift Card,Shipped,5,FREESHIP,Facebook,184.15,0.0,0.0,184.15,0.0
06-05-2023,Monitor,4,234.45,Online,Cancelled,9,FREESHIP,Instagram,937.8,0.0,0.0,937.8,0.0
06-05-2023,Printer,5,374.58,Gift Card,Cancelled,10,FREESHIP,Instagram,1872.9,0.0,0.0,1872.9,0.0
06-05-2024,Chair,5,314.94,Cash,Pending,8,SAVE10,Instagram,1574.7,157.47,0.0,0.0,0.0
06-05-2024,Printer,2,151.66,Cash,Cancelled,6,SAVE10,Instagram,303.32,30.331999999999997,0.0,0.0,0.0
06-05-2025,Desk,2,697.93,Credit Card,Cancelled,2,SAVE10,Google,1395.86,139.58599999999998,0.0,0.0,0.0
06-05-2025,Laptop,2,465.18,Credit Card,Cancelled,2,SAVE10,Google,930.36,93.036,0.0,0.0,0.0
06-05-2025,Tablet,5,638.92,Credit Card,Returned,5,FREESHIP,Google,2332.082,0.0,0.0,2332.082,0.0
06-06-2023,Phone,2,316.2,Online,Returned,2,WINTER15,Instagram,632.4,0.0,94.86,0.0,0.0
06-06-2024,Chair,3,648.59,Debit Card,Cancelled,4,SAVE10,Email,1945.77,194.577,0.0,0.0,0.0
06-06-2024,Phone,4,589.57,Cash,Pending,8,FREESHIP,Instagram,2332.082,0.0,0.0,2332.082,0.0
06-07-2023,Printer,4,678.55,Cash,Delivered,5,WINTER15,Email,2332.082,0.0,349.81229999999994,0.0,1982.2696999999998
06-07-2023,Desk,3,278.04,Online,Delivered,5,WINTER15,Instagram,834.12,0.0,125.118,0.0,709.002
06-08-2023,Chair,3,498.68,Online,Returned,4,FREESHIP,Email,1496.04,0.0,0.0,1496.04,0.0
06-08-2024,Desk,3,342.02,Debit Card,Pending,5,FREESHIP,Email,1026.06,0.0,0.0,1026.06,0.0
06-08-2024,Printer,4,175.36,Debit Card,Delivered,4,FREESHIP,Instagram,701.44,0.0,0.0,701.44,0.0
06-09-2023,Desk,5,272.77,Cash,Pending,7,WINTER15,Email,1363.85,0.0,204.5775,0.0,0.0
06-09-2024,Monitor,1,304.11,Gift Card,Shipped,2,SAVE10,Referral,304.11,30.411000000000005,0.0,0.0,0.0
06-09-2024,Desk,4,491.29,Debit Card,Pending,6,SAVE10,Email,1965.16,196.51600000000002,0.0,0.0,0.0
06-09-2024,Phone,2,142.08,Gift Card,Delivered,4,SAVE10,Referral,284.16,28.416000000000004,0.0,0.0,255.74400000000003
06-10-2023,Chair,3,573.22,Debit Card,Pending,5,SAVE10,Email,1719.66,171.966,0.0,0.0,0.0
06-10-2023,Laptop,3,663.93,Gift Card,Returned,6,FREESHIP,Email,1991.79,0.0,0.0,1991.79,0.0
06-10-2023,Laptop,2,534.91,Debit Card,Returned,5,SAVE10,Google,1069.82,106.98199999999999,0.0,0.0,0.0
06-10-2024,Laptop,1,144.25,Cash,Returned,2,WINTER15,Referral,165.012,0.0,24.7518,0.0,0.0
06-10-2024,Printer,1,52.54,Debit Card,Cancelled,6,WINTER15,Facebook,165.012,0.0,24.7518,0.0,0.0
06-11-2024,Phone,2,512.65,Credit Card,Shipped,5,SAVE10,Email,1025.3,102.53,0.0,0.0,0.0
06-11-2024,Laptop,3,274.75,Cash,Cancelled,3,SAVE10,Google,824.25,82.425,0.0,0.0,0.0
06-12-2024,Tablet,1,655.09,Cash,Pending,6,WINTER15,Referral,655.09,0.0,98.26350000000001,0.0,0.0
07-01-2023,Chair,4,576.52,Credit Card,Pending,5,WINTER15,Facebook,2306.08,0.0,345.912,0.0,0.0
07-01-2023,Tablet,1,92.04,Cash,Shipped,2,WINTER15,Facebook,165.012,0.0,24.7518,0.0,0.0
